timestamp,pressure_bar
1763163756.350,-0.005
1763163756.450,-0.008
1763163756.550,-0.008
1763163756.650,-0.008
1763163756.750,-0.008
1763163756.850,-0.008
1763163756.950,-0.005
1763163757.050,-0.005
1763163757.150,-0.005
1763163757.250,-0.005
1763163757.350,-0.005
1763163757.450,-0.005
1763163757.550,-0.005
1763163757.650,-0.005
1763163757.750,-0.005
1763163757.850,-0.005
1763163757.950,-0.005
1763163758.050,-0.005
1763163758.150,-0.005
1763163758.250,-0.005
1763163758.350,-0.005
1763163758.450,-0.005
1763163758.550,-0.005
1763163758.650,-0.005
1763163758.750,-0.005
1763163758.850,-0.005
1763163758.950,-0.005
1763163759.050,-0.005
1763163759.150,-0.005
1763163759.250,-0.005
1763163759.350,-0.005
1763163759.450,-0.005
1763163759.550,-0.005
1763163759.650,-0.005
1763163759.750,-0.005
1763163759.850,-0.005
1763163759.950,-0.005
1763163760.050,-0.005
1763163760.150,-0.005
1763163760.250,-0.005
1763163760.350,-0.005
1763163760.450,-0.005
1763163760.550,-0.005
1763163760.650,-0.005
1763163760.750,-0.005
1763163760.850,-0.005
1763163760.950,-0.005
1763163761.050,-0.005
1763163761.150,-0.005
1763163761.250,-0.005
1763163761.350,-0.005
1763163761.450,-0.005
1763163761.550,-0.005
1763163761.650,-0.005
1763163761.750,-0.005
1763163761.850,-0.005
1763163761.950,-0.005
1763163762.050,-0.005
1763163762.150,-0.005
1763163762.250,-0.005
1763163762.350,-0.005
1763163762.450,-0.005
1763163762.550,-0.005
1763163762.650,-0.005
1763163762.750,-0.005
1763163762.850,-0.005
1763163762.950,-0.005
1763163763.050,-0.005
1763163763.150,-0.005
1763163763.250,-0.005
1763163763.350,-0.005
1763163763.450,-0.005
1763163763.550,-0.005
1763163763.650,-0.005
1763163763.750,-0.005
1763163763.850,-0.005
1763163763.950,-0.005
1763163764.050,-0.005
1763163764.150,-0.005
1763163764.250,-0.005
1763163764.350,-0.005
1763163764.450,-0.005
1763163764.550,-0.005
1763163764.650,-0.005
1763163764.750,-0.005
1763163764.850,-0.005
1763163764.950,-0.006
1763163765.050,-0.006
1763163765.150,-0.006
1763163765.250,-0.006
1763163765.350,-0.006
1763163765.450,-0.005
1763163765.550,-0.005
1763163765.650,-0.005
