timestamp,pressure_bar
1763152699.651,1.085
1763152699.751,1.085
1763152699.851,1.085
1763152699.951,1.085
1763152700.051,1.085
1763152700.151,2.608
1763152700.251,2.608
1763152700.351,2.608
1763152700.451,2.608
1763152700.551,2.608
1763152700.651,4.635
1763152700.751,4.635
1763152700.851,4.635
1763152700.951,4.635
1763152701.051,4.635
1763152701.151,5.091
1763152701.251,5.091
1763152701.351,5.091
1763152701.451,5.091
1763152701.551,5.091
1763152701.651,5.144
1763152701.751,5.144
1763152701.851,5.144
1763152701.951,5.144
1763152702.051,5.144
1763152702.151,5.142
1763152702.251,5.142
1763152702.351,5.142
1763152702.451,5.142
1763152702.551,5.142
1763152702.651,5.278
1763152702.751,5.278
1763152702.851,5.278
1763152702.951,5.278
1763152703.051,5.278
1763152703.151,5.201
1763152703.251,5.201
1763152703.351,5.201
1763152703.451,5.201
1763152703.551,5.201
1763152703.651,5.133
1763152703.751,5.133
1763152703.851,5.133
1763152703.951,5.133
1763152704.051,5.133
1763152704.151,5.088
1763152704.251,5.088
1763152704.351,5.088
1763152704.451,5.088
1763152704.551,5.088
1763152704.651,5.227
1763152704.751,5.227
1763152704.851,5.227
1763152704.951,5.227
1763152705.051,5.227
1763152705.151,5.188
1763152705.251,5.188
1763152705.351,5.188
1763152705.451,5.188
1763152705.551,5.188
1763152705.651,5.151
1763152705.751,5.151
1763152705.851,5.151
1763152705.951,5.151
1763152706.051,5.151
1763152706.151,5.171
1763152706.251,5.171
1763152706.351,5.171
1763152706.451,5.171
1763152706.551,5.171
1763152706.651,5.166
1763152706.751,5.166
1763152706.851,5.166
1763152706.951,5.166
1763152707.051,5.166
1763152707.151,5.186
1763152707.251,5.186
1763152707.351,5.186
1763152707.451,5.186
1763152707.551,5.186
1763152707.651,5.053
1763152707.751,5.053
1763152707.851,5.053
1763152707.951,5.053
1763152708.051,5.053
1763152708.151,5.208
1763152708.251,5.208
1763152708.351,5.208
1763152708.451,5.208
1763152708.551,5.208
1763152708.651,5.136
1763152708.751,5.136
1763152708.851,5.136
1763152708.951,5.136
1763152709.051,5.136
1763152709.151,5.195
1763152709.251,5.195
1763152709.351,5.195
1763152709.451,5.195
1763152709.551,5.195
1763152709.651,5.080
1763152709.751,5.080
1763152709.851,5.080
1763152709.951,5.080
1763152710.051,5.080
1763152710.151,5.123
1763152710.251,5.123
1763152710.351,5.123
1763152710.451,5.123
1763152710.551,5.123
1763152710.651,5.114
1763152710.751,5.114
1763152710.851,5.114
1763152710.951,5.114
1763152711.051,5.114
1763152711.151,5.160
1763152711.251,5.160
1763152711.351,5.160
1763152711.451,5.160
1763152711.551,5.160
1763152711.651,5.092
1763152711.751,5.092
1763152711.851,5.092
1763152711.951,5.092
1763152712.051,5.092
1763152712.151,5.129
1763152712.251,5.129
1763152712.351,5.129
1763152712.451,5.129
1763152712.551,5.129
1763152712.651,5.566
1763152712.751,5.566
1763152712.851,5.566
1763152712.951,5.566
1763152713.051,5.566
1763152713.151,5.666
1763152713.251,5.666
1763152713.351,5.666
1763152713.451,5.666
1763152713.551,5.666
1763152713.651,5.543
1763152713.751,5.543
1763152713.851,5.543
1763152713.951,5.543
1763152714.051,5.543
1763152714.151,5.550
1763152714.251,5.550
1763152714.351,5.550
1763152714.451,5.550
1763152714.551,5.550
1763152714.651,5.638
1763152714.751,5.638
1763152714.851,5.638
1763152714.951,5.638
1763152715.051,5.638
1763152715.151,5.656
1763152715.251,5.656
1763152715.351,5.656
1763152715.451,5.656
1763152715.551,5.656
1763152715.651,5.596
1763152715.751,5.596
1763152715.851,5.596
1763152715.951,5.596
1763152716.051,5.596
1763152716.151,5.536
1763152716.251,5.536
1763152716.351,5.536
1763152716.451,5.536
1763152716.551,5.536
1763152716.651,5.634
1763152716.751,5.634
1763152716.851,5.634
1763152716.951,5.634
1763152717.051,5.634
1763152717.151,5.657
1763152717.251,5.657
1763152717.351,5.657
1763152717.451,5.657
1763152717.551,5.657
1763152717.651,5.596
1763152717.751,5.596
1763152717.851,5.596
1763152717.951,5.596
1763152718.051,5.596
1763152718.151,5.526
1763152718.251,5.526
1763152718.351,5.526
1763152718.451,5.526
1763152718.551,5.526
1763152718.651,5.556
1763152718.751,5.556
1763152718.851,5.556
1763152718.951,5.556
1763152719.051,5.556
1763152719.151,5.648
1763152719.251,5.648
1763152719.351,5.648
1763152719.451,5.648
1763152719.551,5.648
1763152719.651,5.660
1763152719.751,5.660
1763152719.851,5.660
1763152719.951,5.660
1763152720.051,5.660
1763152720.151,5.584
1763152720.251,5.584
1763152720.351,5.584
1763152720.451,5.584
1763152720.551,5.584
1763152720.651,5.576
1763152720.751,5.576
1763152720.851,5.576
1763152720.951,5.576
1763152721.051,5.576
1763152721.151,5.650
1763152721.251,5.650
1763152721.351,5.650
1763152721.451,5.650
1763152721.551,5.650
1763152721.651,5.669
1763152721.751,5.669
1763152721.851,5.669
1763152721.951,5.669
1763152722.051,5.669
1763152722.151,5.555
1763152722.251,5.555
1763152722.351,5.555
1763152722.451,5.555
1763152722.551,5.555
1763152722.651,5.575
1763152722.751,5.575
1763152722.851,5.575
1763152722.951,5.575
1763152723.051,5.575
1763152723.151,5.661
1763152723.251,5.661
1763152723.351,5.661
1763152723.451,5.661
1763152723.551,5.661
1763152723.651,5.667
1763152723.751,5.667
1763152723.851,5.667
1763152723.951,5.667
1763152724.051,5.667
1763152724.151,5.652
1763152724.251,5.652
1763152724.351,5.652
1763152724.451,5.652
