timestamp,pressure_bar
1762970487.621,0.946
1762970487.720,0.946
1762970487.820,0.946
1762970487.920,0.946
1762970488.020,0.946
1762970488.120,0.954
1762970488.220,0.954
1762970488.320,0.954
1762970488.420,0.954
1762970488.520,0.954
1762970488.620,0.954
1762970488.720,0.954
1762970488.820,0.954
1762970488.920,0.954
1762970489.020,0.954
1762970489.120,0.952
1762970489.220,0.952
1762970489.320,0.952
1762970489.420,0.952
1762970489.520,0.952
1762970489.620,0.958
1762970489.720,0.958
1762970489.820,0.958
1762970489.920,0.958
1762970490.020,0.958
1762970490.120,0.957
1762970490.220,0.957
1762970490.320,0.957
1762970490.420,0.957
1762970490.520,0.957
1762970490.620,0.957
1762970490.720,0.957
1762970490.820,0.957
1762970490.920,0.957
1762970491.020,0.957
1762970491.120,0.957
1762970491.220,0.957
1762970491.320,0.957
1762970491.420,0.957
1762970491.520,0.957
1762970491.620,0.952
1762970491.720,0.952
1762970491.820,0.952
1762970491.920,0.952
1762970492.020,0.952
1762970492.120,0.957
1762970492.220,0.957
1762970492.320,0.957
1762970492.420,0.957
1762970492.520,0.957
1762970492.620,0.946
1762970492.720,0.946
1762970492.820,0.946
1762970492.920,0.946
1762970493.020,0.946
1762970493.120,0.957
1762970493.220,0.957
1762970493.320,0.957
1762970493.420,0.957
1762970493.520,0.957
1762970493.620,0.956
1762970493.720,0.956
1762970493.820,0.956
1762970493.920,0.956
1762970494.020,0.956
1762970494.120,0.955
1762970494.220,0.955
1762970494.320,0.955
1762970494.420,0.955
1762970494.520,0.955
1762970494.620,0.947
1762970494.720,0.947
1762970494.820,0.947
1762970494.920,0.947
1762970495.020,0.947
1762970495.120,0.957
1762970495.220,0.957
1762970495.320,0.957
1762970495.420,0.957
1762970495.526,0.957
1762970495.622,0.939
1762970495.722,0.939
1762970495.820,0.939
1762970495.920,0.939
1762970496.020,0.939
1762970496.120,0.952
1762970496.220,0.952
1762970496.320,0.952
1762970496.420,0.952
1762970496.520,0.952
1762970496.620,0.957
1762970496.720,0.957
1762970496.820,0.957
1762970496.920,0.957
1762970497.020,0.957
1762970497.120,0.952
1762970497.220,0.952
1762970497.320,0.952
1762970497.420,0.952
1762970497.520,0.952
1762970497.620,0.949
1762970497.720,0.949
1762970497.820,0.949
1762970497.920,0.949
1762970498.020,0.949
1762970498.120,0.957
1762970498.220,0.957
1762970498.320,0.957
1762970498.420,0.957
1762970498.520,0.957
1762970498.620,0.952
1762970498.720,0.952
1762970498.820,0.952
1762970498.920,0.952
1762970499.020,0.952
1762970499.120,0.949
1762970499.220,0.949
1762970499.320,0.949
1762970499.420,0.949
1762970499.520,0.949
1762970499.620,0.956
1762970499.720,0.956
1762970499.820,0.956
1762970499.920,0.956
1762970500.020,0.956
1762970500.120,0.956
1762970500.220,0.956
1762970500.320,0.956
1762970500.420,0.956
1762970500.520,0.956
1762970500.620,0.956
1762970500.720,0.956
1762970500.820,0.956
1762970500.920,0.956
1762970501.020,0.956
1762970501.120,0.953
1762970501.220,0.953
1762970501.320,0.953
1762970501.420,0.953
1762970501.520,0.953
1762970501.620,0.952
1762970501.720,0.952
1762970501.820,0.952
1762970501.920,0.952
1762970502.020,0.952
1762970502.120,0.952
1762970502.220,0.952
1762970502.320,0.952
1762970502.420,0.952
1762970502.520,0.952
1762970502.620,0.949
1762970502.720,0.949
1762970502.820,0.949
1762970502.920,0.949
1762970503.020,0.949
1762970503.120,0.957
1762970503.220,0.957
1762970503.320,0.957
1762970503.420,0.957
1762970503.520,0.957
1762970503.620,0.952
1762970503.720,0.952
1762970503.820,0.952
1762970503.920,0.952
1762970504.020,0.952
1762970504.120,0.957
1762970504.220,0.957
1762970504.320,0.957
1762970504.420,0.957
1762970504.520,0.957
1762970504.620,0.956
1762970504.720,0.956
1762970504.820,0.956
1762970504.920,0.956
1762970505.020,0.956
1762970505.120,0.952
1762970505.220,0.952
1762970505.320,0.952
1762970505.420,0.952
1762970505.520,0.952
1762970505.620,0.951
1762970505.720,0.951
1762970505.820,0.951
1762970505.920,0.951
1762970506.020,0.951
1762970506.120,0.957
1762970506.220,0.957
1762970506.320,0.957
1762970506.420,0.957
1762970506.520,0.957
1762970506.620,0.954
1762970506.720,0.954
1762970506.820,0.954
1762970506.920,0.954
1762970507.020,0.954
1762970507.120,0.957
1762970507.220,0.957
1762970507.320,0.957
1762970507.420,0.957
1762970507.520,0.957
