timestamp,pressure_bar
1762976203.850,1.174
1762976203.950,1.174
1762976204.050,1.174
1762976204.150,1.680
1762976204.250,1.680
1762976204.350,1.680
1762976204.450,1.680
1762976204.550,1.680
1762976204.650,4.673
1762976204.750,4.673
1762976204.850,4.673
1762976204.950,4.673
1762976205.050,4.673
1762976205.150,5.100
1762976205.250,5.100
1762976205.350,5.100
1762976205.450,5.100
1762976205.550,5.100
1762976205.650,4.950
1762976205.750,4.950
1762976205.850,4.950
1762976205.950,4.950
1762976206.050,4.950
1762976206.150,4.394
1762976206.250,4.394
1762976206.350,4.394
1762976206.450,4.394
1762976206.550,4.394
1762976206.650,4.128
1762976206.750,4.128
1762976206.850,4.128
1762976206.950,4.128
1762976207.050,4.128
1762976207.150,4.244
1762976207.250,4.244
1762976207.350,4.244
1762976207.450,4.244
1762976207.550,4.244
1762976207.650,4.129
1762976207.750,4.129
1762976207.850,4.129
1762976207.950,4.129
1762976208.050,4.129
1762976208.150,4.448
1762976208.250,4.448
1762976208.350,4.448
1762976208.450,4.448
1762976208.550,4.448
1762976208.650,4.327
1762976208.750,4.327
1762976208.850,4.327
1762976208.950,4.327
1762976209.050,4.327
1762976209.150,4.051
1762976209.250,4.051
1762976209.350,4.051
1762976209.450,4.051
1762976209.550,4.051
1762976209.650,4.120
1762976209.750,4.120
1762976209.850,4.120
1762976209.950,4.120
1762976210.050,4.120
1762976210.150,4.047
1762976210.250,4.047
1762976210.350,4.047
1762976210.450,4.047
1762976210.550,4.047
1762976210.650,4.144
1762976210.750,4.144
1762976210.850,4.144
1762976210.950,4.144
1762976211.050,4.144
1762976211.150,4.286
1762976211.250,4.286
1762976211.350,4.286
1762976211.450,4.286
1762976211.550,4.286
1762976211.650,4.051
1762976211.750,4.051
1762976211.850,4.051
1762976211.950,4.051
1762976212.050,4.051
1762976212.150,4.027
1762976212.250,4.027
1762976212.350,4.027
1762976212.450,4.027
1762976212.550,4.027
1762976212.650,4.050
1762976212.750,4.050
1762976212.850,4.050
1762976212.950,4.050
1762976213.050,4.050
1762976213.150,4.029
1762976213.250,4.029
1762976213.350,4.029
1762976213.453,4.029
1762976213.550,4.029
1762976213.650,4.315
1762976213.750,4.315
