timestamp,pressure_bar
1762906817.578,1.185
1762906817.678,1.185
1762906817.778,1.316
1762906817.878,1.316
1762906817.978,1.316
1762906818.078,1.316
1762906818.178,1.316
1762906818.278,3.860
1762906818.378,3.860
1762906818.478,3.860
1762906818.578,3.860
1762906818.678,3.860
1762906818.778,4.359
1762906818.878,4.359
1762906818.978,4.359
1762906819.078,4.359
1762906819.178,4.359
1762906819.278,4.475
1762906819.378,4.475
1762906819.478,4.475
1762906819.578,4.475
1762906819.678,4.475
1762906819.778,3.832
1762906819.878,3.832
1762906819.978,3.832
1762906820.078,3.832
1762906820.178,3.832
1762906820.278,3.806
1762906820.378,3.806
1762906820.478,3.806
1762906820.578,3.806
1762906820.678,3.806
1762906820.778,3.791
1762906820.878,3.791
1762906820.978,3.791
1762906821.078,3.791
1762906821.178,3.791
1762906821.278,3.797
1762906821.378,3.797
1762906821.478,3.797
1762906821.578,3.797
1762906821.678,3.797
1762906821.778,3.893
1762906821.878,3.893
1762906821.978,3.893
1762906822.078,3.893
1762906822.178,3.893
1762906822.278,3.638
1762906822.378,3.638
1762906822.478,3.638
