timestamp,pressure_bar
1763148237.954,1.182
1763148238.054,1.182
1763148238.154,1.182
1763148238.254,1.358
1763148238.354,1.358
1763148238.454,1.358
1763148238.554,1.358
1763148238.654,1.358
1763148238.754,3.424
1763148238.854,3.424
1763148238.954,3.424
1763148239.054,3.424
1763148239.154,3.424
1763148239.254,3.889
1763148239.354,3.889
1763148239.454,3.889
1763148239.554,3.889
1763148239.654,3.889
1763148239.754,3.846
1763148239.854,3.846
1763148239.954,3.846
1763148240.054,3.846
1763148240.154,3.846
1763148240.254,4.058
1763148240.354,4.058
1763148240.454,4.058
1763148240.554,4.058
1763148240.654,4.058
1763148240.754,4.018
1763148240.854,4.018
1763148240.954,4.018
1763148241.054,4.018
1763148241.154,4.018
1763148241.254,3.974
1763148241.354,3.974
1763148241.454,3.974
1763148241.554,3.974
1763148241.654,3.974
1763148241.754,4.004
1763148241.854,4.004
1763148241.954,4.004
1763148242.054,4.004
1763148242.154,4.004
1763148242.254,4.062
1763148242.354,4.062
1763148242.454,4.062
1763148242.554,4.062
1763148242.654,4.062
1763148242.754,4.014
1763148242.854,4.014
1763148242.954,4.014
1763148243.054,4.014
1763148243.154,4.014
1763148243.254,3.744
1763148243.354,3.744
1763148243.454,3.744
1763148243.554,3.744
1763148243.654,3.744
1763148243.754,3.826
1763148243.854,3.826
1763148243.954,3.826
1763148244.054,3.826
1763148244.154,3.826
1763148244.254,3.987
1763148244.354,3.987
1763148244.454,3.987
1763148244.554,3.987
1763148244.654,3.987
1763148244.754,3.917
1763148244.854,3.917
1763148244.954,3.917
1763148245.054,3.917
1763148245.154,3.917
1763148245.254,3.864
1763148245.354,3.864
1763148245.454,3.864
1763148245.554,3.864
1763148245.654,3.864
1763148245.754,3.791
1763148245.854,3.791
1763148245.954,3.791
1763148246.054,3.791
1763148246.154,3.791
1763148246.254,3.889
1763148246.354,3.889
1763148246.454,3.889
1763148246.554,3.889
1763148246.654,3.889
1763148246.754,3.819
1763148246.854,3.819
1763148246.954,3.819
1763148247.054,3.819
1763148247.154,3.819
1763148247.254,3.768
1763148247.354,3.768
1763148247.454,3.768
1763148247.554,3.768
1763148247.654,3.768
1763148247.754,3.886
1763148247.854,3.886
1763148247.954,3.886
1763148248.054,3.886
1763148248.154,3.886
1763148248.254,3.936
1763148248.354,3.936
1763148248.454,3.936
1763148248.554,3.936
1763148248.654,3.936
1763148248.754,3.938
1763148248.854,3.938
1763148248.954,3.938
1763148249.054,3.938
1763148249.154,3.938
1763148249.254,3.759
1763148249.354,3.759
1763148249.454,3.759
1763148249.554,3.759
1763148249.654,3.759
1763148249.754,3.716
1763148249.854,3.716
1763148249.954,3.716
1763148250.054,3.716
1763148250.154,3.716
1763148250.254,3.921
1763148250.354,3.921
1763148250.454,3.921
1763148250.554,3.921
1763148250.654,3.921
1763148250.754,3.852
1763148250.854,3.852
1763148250.954,3.852
1763148251.054,3.852
1763148251.154,3.852
1763148251.254,3.937
1763148251.354,3.937
1763148251.454,3.937
1763148251.554,3.937
1763148251.654,3.937
1763148251.754,4.050
1763148251.854,4.050
1763148251.954,4.050
1763148252.054,4.050
1763148252.154,4.050
1763148252.254,4.239
1763148252.354,4.239
1763148252.454,4.239
1763148252.554,4.239
1763148252.654,4.239
1763148252.754,4.220
1763148252.854,4.220
1763148252.954,4.220
1763148253.054,4.220
1763148253.154,4.220
1763148253.254,3.977
1763148253.354,3.977
1763148253.454,3.977
1763148253.554,3.977
1763148253.654,3.977
1763148253.754,3.994
1763148253.854,3.994
1763148253.954,3.994
1763148254.054,3.994
1763148254.154,3.994
1763148254.254,4.196
1763148254.354,4.196
1763148254.454,4.196
1763148254.554,4.196
1763148254.654,4.196
1763148254.754,4.156
1763148254.854,4.156
1763148254.954,4.156
1763148255.054,4.156
1763148255.154,4.156
1763148255.254,4.062
1763148255.354,4.062
1763148255.454,4.062
1763148255.554,4.062
1763148255.654,4.062
1763148255.754,4.024
1763148255.854,4.024
1763148255.954,4.024
1763148256.054,4.024
1763148256.154,4.024
1763148256.254,4.112
1763148256.354,4.112
1763148256.454,4.112
1763148256.554,4.112
1763148256.654,4.112
1763148256.754,4.234
1763148256.854,4.234
1763148256.954,4.234
1763148257.054,4.234
1763148257.154,4.234
1763148257.254,4.077
1763148257.354,4.077
1763148257.454,4.077
1763148257.554,4.077
1763148257.654,4.077
1763148257.754,3.981
1763148257.854,3.981
1763148257.954,3.981
1763148258.054,3.981
1763148258.154,3.981
1763148258.254,4.103
1763148258.354,4.103
1763148258.454,4.103
1763148258.554,4.103
1763148258.654,4.103
1763148258.754,4.241
1763148258.854,4.241
1763148258.954,4.241
1763148259.054,4.241
1763148259.154,4.241
1763148259.254,4.102
1763148259.354,4.102
1763148259.454,4.102
1763148259.554,4.102
1763148259.654,4.102
1763148259.754,3.963
1763148259.854,3.963
1763148259.954,3.963
1763148260.054,3.963
1763148260.154,3.963
1763148260.254,4.164
1763148260.354,4.164
1763148260.454,4.164
1763148260.554,4.164
1763148260.654,4.164
1763148260.754,4.250
1763148260.854,4.250
1763148260.954,4.250
1763148261.054,4.250
1763148261.154,4.250
1763148261.254,4.105
1763148261.354,4.105
1763148261.454,4.105
1763148261.554,4.105
1763148261.654,4.105
1763148261.754,4.025
1763148261.854,4.025
1763148261.954,4.025
1763148262.054,4.025
1763148262.154,4.025
1763148262.254,4.059
1763148262.354,4.059
1763148262.454,4.059
1763148262.554,4.059
1763148262.654,4.059
1763148262.754,4.193
1763148262.854,4.193
1763148262.954,4.193
1763148263.054,4.193
1763148263.154,4.193
1763148263.254,4.151
1763148263.354,4.151
1763148263.454,4.151
1763148263.554,4.151
1763148263.654,4.151
1763148263.754,4.247
1763148263.854,4.247
1763148263.954,4.247
1763148264.054,4.247
1763148264.154,4.247
1763148264.254,4.083
1763148264.354,4.083
1763148264.454,4.083
1763148264.554,4.083
1763148264.654,4.083
1763148264.754,4.077
1763148264.854,4.077
1763148264.954,4.077
1763148265.054,4.077
1763148265.154,4.077
1763148265.254,4.209
1763148265.354,4.209
1763148265.454,4.209
1763148265.554,4.209
1763148265.654,4.209
1763148265.754,4.140
1763148265.854,4.140
1763148265.954,4.140
1763148266.054,4.140
1763148266.154,4.140
1763148266.254,4.099
1763148266.354,4.099
1763148266.454,4.099
1763148266.554,4.099
1763148266.654,4.099
1763148266.754,4.026
1763148266.854,4.026
1763148266.954,4.026
1763148267.054,4.026
1763148267.154,4.026
1763148267.254,4.111
1763148267.354,4.111
1763148267.454,4.111
1763148267.554,4.111
1763148267.654,4.111
1763148267.754,4.152
1763148267.854,4.152
1763148267.954,4.152
1763148268.054,4.152
1763148268.154,4.152
1763148268.254,4.103
1763148268.354,4.103
1763148268.454,4.103
1763148268.554,4.103
1763148268.654,4.103
1763148268.754,3.990
1763148268.854,3.990
1763148268.954,3.990
1763148269.054,3.990
1763148269.154,3.990
1763148269.254,4.066
1763148269.354,4.066
1763148269.454,4.066
1763148269.554,4.066
1763148269.654,4.066
1763148269.754,4.188
1763148269.854,4.188
1763148269.954,4.188
1763148270.054,4.188
1763148270.154,4.188
1763148270.254,4.094
1763148270.354,4.094
1763148270.454,4.094
1763148270.554,4.094
1763148270.654,4.094
1763148270.754,3.997
1763148270.854,3.997
1763148270.954,3.997
1763148271.054,3.997
1763148271.154,3.997
1763148271.254,4.071
1763148271.354,4.071
1763148271.454,4.071
1763148271.554,4.071
1763148271.654,4.071
1763148271.754,4.158
1763148271.854,4.158
1763148271.954,4.158
1763148272.054,4.158
1763148272.154,4.158
1763148272.254,4.112
1763148272.354,4.112
1763148272.454,4.112
1763148272.554,4.112
1763148272.654,4.112
1763148272.754,4.014
1763148272.854,4.014
1763148272.954,4.014
1763148273.054,4.014
1763148273.154,4.014
1763148273.254,4.049
1763148273.354,4.049
1763148273.454,4.049
1763148273.554,4.049
1763148273.654,4.049
1763148273.754,4.116
1763148273.854,4.116
1763148273.954,4.116
1763148274.054,4.116
1763148274.154,4.116
1763148274.254,4.153
1763148274.354,4.153
1763148274.454,4.153
1763148274.554,4.153
1763148274.654,4.153
1763148274.754,4.101
1763148274.854,4.101
1763148274.954,4.101
1763148275.054,4.101
1763148275.154,4.101
1763148275.254,3.999
1763148275.354,3.999
1763148275.454,3.999
1763148275.554,3.999
