timestamp,pressure_bar
1762983732.118,1.036
1762983732.218,1.036
1762983732.318,1.036
1762983732.418,1.036
1762983732.518,1.036
1762983732.618,2.678
1762983732.718,2.678
1762983732.818,2.678
1762983732.918,2.678
1762983733.018,2.678
1762983733.118,3.932
1762983733.218,3.932
1762983733.318,3.932
1762983733.418,3.932
1762983733.518,3.932
1762983733.618,3.780
1762983733.718,3.780
1762983733.818,3.780
1762983733.918,3.780
1762983734.018,3.780
1762983734.118,4.196
1762983734.218,4.196
1762983734.318,4.196
1762983734.418,4.196
1762983734.518,4.196
1762983734.618,4.572
1762983734.718,4.572
1762983734.818,4.572
1762983734.918,4.572
1762983735.018,4.572
1762983735.118,4.510
1762983735.218,4.510
1762983735.318,4.510
1762983735.418,4.510
1762983735.518,4.510
1762983735.618,5.075
1762983735.718,5.075
1762983735.818,5.075
1762983735.918,5.075
1762983736.018,5.075
1762983736.118,5.298
1762983736.218,5.298
1762983736.318,5.298
1762983736.418,5.298
1762983736.518,5.298
1762983736.618,5.338
1762983736.718,5.338
1762983736.818,5.338
1762983736.918,5.338
1762983737.018,5.338
1762983737.118,5.996
1762983737.218,5.996
1762983737.318,5.996
1762983737.418,5.996
1762983737.518,5.996
1762983737.618,7.206
1762983737.718,7.206
1762983737.818,7.206
1762983737.918,7.206
1762983738.018,7.206
1762983738.118,7.564
1762983738.218,7.564
1762983738.318,7.564
1762983738.418,7.564
1762983738.518,7.564
1762983738.618,7.429
1762983738.718,7.429
1762983738.818,7.429
1762983738.918,7.429
1762983739.018,7.429
1762983739.118,4.684
1762983739.218,4.684
1762983739.318,4.684
1762983739.418,4.684
1762983739.518,4.684
1762983739.618,4.533
1762983739.718,4.533
1762983739.818,4.533
1762983739.918,4.533
1762983740.018,4.533
1762983740.118,4.560
