timestamp,pressure_bar
1763005521.030,1.018
1763005521.130,1.018
1763005521.230,1.018
1763005521.330,1.018
1763005521.430,1.018
1763005521.530,1.549
1763005521.630,1.549
1763005521.730,1.549
1763005521.830,1.549
1763005521.930,1.549
1763005522.030,2.728
1763005522.130,2.728
1763005522.230,2.728
1763005522.330,2.728
1763005522.430,2.728
1763005522.530,3.940
1763005522.630,3.940
1763005522.730,3.940
1763005522.830,3.940
1763005522.930,3.940
1763005523.030,4.677
1763005523.130,4.677
1763005523.230,4.677
1763005523.330,4.677
1763005523.430,4.677
1763005523.530,5.058
1763005523.630,5.058
1763005523.730,5.058
1763005523.830,5.058
1763005523.930,5.058
1763005524.030,5.236
1763005524.130,5.236
1763005524.230,5.236
1763005524.330,5.236
1763005524.430,5.236
1763005524.530,5.267
1763005524.630,5.267
1763005524.730,5.267
1763005524.830,5.267
1763005524.930,5.267
1763005525.030,5.261
1763005525.130,5.261
1763005525.230,5.261
1763005525.330,5.261
1763005525.430,5.261
1763005525.530,5.284
1763005525.630,5.284
1763005525.730,5.284
1763005525.830,5.284
1763005525.930,5.284
1763005526.030,5.275
1763005526.130,5.275
1763005526.230,5.275
1763005526.330,5.275
1763005526.430,5.275
1763005526.530,5.236
1763005526.630,5.236
1763005526.730,5.236
1763005526.830,5.236
1763005526.930,5.236
1763005527.030,5.263
1763005527.130,5.263
1763005527.230,5.263
1763005527.330,5.263
1763005527.430,5.263
1763005527.530,5.316
1763005527.630,5.316
1763005527.730,5.316
1763005527.830,5.316
1763005527.930,5.316
1763005528.030,5.322
1763005528.130,5.322
1763005528.230,5.322
1763005528.330,5.322
1763005528.430,5.322
1763005528.530,5.330
1763005528.630,5.330
1763005528.730,5.330
1763005528.830,5.330
1763005528.930,5.330
1763005529.032,5.307
1763005529.130,5.307
1763005529.230,5.307
1763005529.330,5.307
1763005529.430,5.307
1763005529.530,5.344
1763005529.630,5.344
1763005529.730,5.344
1763005529.830,5.344
1763005529.930,5.344
1763005530.030,5.311
1763005530.130,5.311
1763005530.230,5.311
1763005530.330,5.311
1763005530.430,5.311
1763005530.530,5.318
1763005530.630,5.318
1763005530.730,5.318
1763005530.830,5.318
1763005530.930,5.318
1763005531.030,5.295
1763005531.130,5.295
1763005531.230,5.295
1763005531.330,5.295
1763005531.430,5.295
1763005531.530,5.315
1763005531.630,5.315
1763005531.730,5.315
1763005531.830,5.315
1763005531.930,5.315
1763005532.030,5.320
1763005532.130,5.320
1763005532.230,5.320
1763005532.330,5.320
1763005532.430,5.320
1763005532.530,5.347
1763005532.630,5.347
1763005532.730,5.347
1763005532.830,5.347
1763005532.930,5.347
1763005533.030,5.338
1763005533.130,5.338
1763005533.230,5.338
1763005533.330,5.338
1763005533.430,5.338
1763005533.530,5.334
1763005533.630,5.334
1763005533.730,5.334
1763005533.830,5.334
1763005533.930,5.334
1763005534.030,5.317
1763005534.130,5.317
1763005534.230,5.317
1763005534.330,5.317
1763005534.430,5.317
1763005534.530,5.317
1763005534.630,5.317
1763005534.730,5.317
1763005534.830,5.317
1763005534.930,5.317
1763005535.030,5.324
1763005535.130,5.324
1763005535.230,5.324
1763005535.330,5.324
1763005535.430,5.324
1763005535.530,5.321
1763005535.630,5.321
1763005535.730,5.321
1763005535.830,5.321
1763005535.930,5.321
1763005536.030,5.314
1763005536.130,5.314
1763005536.230,5.314
1763005536.330,5.314
1763005536.430,5.314
1763005536.530,5.296
1763005536.630,5.296
1763005536.730,5.296
1763005536.830,5.296
1763005536.930,5.296
1763005537.030,5.300
1763005537.130,5.300
1763005537.230,5.300
1763005537.330,5.300
1763005537.430,5.300
1763005537.530,5.332
1763005537.630,5.332
1763005537.730,5.332
1763005537.830,5.332
1763005537.930,5.332
1763005538.030,5.326
1763005538.130,5.326
1763005538.230,5.326
1763005538.330,5.326
1763005538.430,5.326
1763005538.530,5.337
1763005538.630,5.337
1763005538.730,5.337
1763005538.830,5.337
1763005538.930,5.337
1763005539.030,5.331
1763005539.130,5.331
1763005539.230,5.331
1763005539.330,5.331
1763005539.430,5.331
1763005539.530,5.314
1763005539.630,5.314
1763005539.730,5.314
1763005539.830,5.314
1763005539.930,5.314
1763005540.030,5.307
1763005540.130,5.307
1763005540.230,5.307
1763005540.330,5.307
1763005540.430,5.307
1763005540.530,5.330
1763005540.630,5.330
1763005540.730,5.330
1763005540.830,5.330
1763005540.930,5.330
1763005541.030,5.303
1763005541.130,5.303
1763005541.230,5.303
1763005541.330,5.303
1763005541.430,5.303
1763005541.530,5.322
1763005541.630,5.322
1763005541.730,5.322
1763005541.830,5.322
1763005541.932,5.322
1763005542.030,5.319
1763005542.130,5.319
1763005542.230,5.319
1763005542.330,5.319
1763005542.430,5.319
1763005542.530,5.346
1763005542.630,5.346
1763005542.730,5.346
1763005542.830,5.346
1763005542.930,5.346
1763005543.030,5.342
1763005543.130,5.342
1763005543.230,5.342
1763005543.330,5.342
1763005543.430,5.342
1763005543.530,5.345
1763005543.630,5.345
1763005543.730,5.345
1763005543.830,5.345
1763005543.930,5.345
1763005544.030,5.324
1763005544.130,5.324
1763005544.230,5.324
1763005544.330,5.324
1763005544.430,5.324
1763005544.530,5.326
1763005544.630,5.326
1763005544.730,5.326
1763005544.830,5.326
1763005544.930,5.326
1763005545.030,5.342
1763005545.130,5.342
1763005545.230,5.342
1763005545.330,5.342
1763005545.430,5.342
1763005545.530,5.348
1763005545.630,5.348
1763005545.730,5.348
1763005545.830,5.348
1763005545.930,5.348
1763005546.030,5.343
1763005546.130,5.343
1763005546.230,5.343
1763005546.330,5.343
1763005546.430,5.343
1763005546.530,5.348
1763005546.630,5.348
1763005546.730,5.348
1763005546.830,5.348
1763005546.930,5.348
1763005547.030,5.327
1763005547.130,5.327
1763005547.230,5.327
1763005547.330,5.327
1763005547.430,5.327
1763005547.530,5.357
1763005547.630,5.357
1763005547.730,5.357
1763005547.830,5.357
1763005547.930,5.357
1763005548.030,5.321
1763005548.130,5.321
1763005548.230,5.321
1763005548.330,5.321
1763005548.430,5.321
1763005548.530,5.362
1763005548.630,5.362
1763005548.730,5.362
1763005548.830,5.362
1763005548.930,5.362
1763005549.030,5.350
1763005549.130,5.350
1763005549.230,5.350
1763005549.330,5.350
1763005549.430,5.350
1763005549.530,5.347
1763005549.630,5.347
1763005549.730,5.347
1763005549.830,5.347
1763005549.930,5.347
1763005550.030,5.313
1763005550.130,5.313
1763005550.230,5.313
1763005550.330,5.313
1763005550.430,5.313
1763005550.530,5.327
1763005550.630,5.327
1763005550.730,5.327
1763005550.830,5.327
1763005550.930,5.327
1763005551.030,5.367
1763005551.130,5.367
1763005551.230,5.367
1763005551.330,5.367
1763005551.430,5.367
1763005551.530,5.352
1763005551.630,5.352
1763005551.730,5.352
1763005551.830,5.352
1763005551.930,5.352
1763005552.030,5.338
1763005552.130,5.338
1763005552.230,5.338
1763005552.330,5.338
1763005552.430,5.338
1763005552.530,5.338
1763005552.630,5.338
1763005552.730,5.338
1763005552.830,5.338
1763005552.930,5.338
1763005553.030,5.356
1763005553.130,5.356
1763005553.230,5.356
1763005553.330,5.356
1763005553.430,5.356
1763005553.530,5.357
1763005553.630,5.357
1763005553.730,5.357
1763005553.830,5.357
1763005553.930,5.357
1763005554.030,5.351
1763005554.130,5.351
1763005554.230,5.351
1763005554.330,5.351
1763005554.430,5.351
1763005554.530,5.334
1763005554.630,5.334
1763005554.730,5.334
1763005554.830,5.334
1763005554.930,5.334
1763005555.030,5.340
1763005555.130,5.340
1763005555.230,5.340
1763005555.330,5.340
1763005555.430,5.340
1763005555.530,5.340
1763005555.630,5.340
1763005555.730,5.340
1763005555.830,5.340
1763005555.930,5.340
1763005556.030,5.354
1763005556.130,5.354
1763005556.230,5.354
1763005556.330,5.354
1763005556.430,5.354
1763005556.530,5.334
1763005556.630,5.334
1763005556.730,5.334
1763005556.830,5.334
1763005556.930,5.334
1763005557.030,5.355
1763005557.130,5.355
1763005557.230,5.355
1763005557.330,5.355
1763005557.430,5.355
1763005557.530,5.371
1763005557.630,5.371
1763005557.730,5.371
1763005557.830,5.371
1763005557.930,5.371
1763005558.030,5.370
1763005558.130,5.370
1763005558.230,5.370
1763005558.330,5.370
1763005558.430,5.370
1763005558.530,5.343
1763005558.630,5.343
1763005558.730,5.343
1763005558.830,5.343
1763005558.930,5.343
1763005559.030,5.348
1763005559.130,5.348
1763005559.230,5.348
1763005559.330,5.348
1763005559.430,5.348
1763005559.530,5.341
1763005559.630,5.341
1763005559.730,5.341
1763005559.830,5.341
1763005559.930,5.341
1763005560.030,5.340
1763005560.130,5.340
1763005560.230,5.340
1763005560.330,5.340
1763005560.430,5.340
1763005560.530,5.353
1763005560.630,5.353
1763005560.730,5.353
1763005560.830,5.353
1763005560.930,5.353
1763005561.030,5.346
1763005561.130,5.346
1763005561.230,5.346
1763005561.330,5.346
1763005561.430,5.346
1763005561.530,5.327
1763005561.630,5.327
1763005561.730,5.327
1763005561.830,5.327
1763005561.930,5.327
1763005562.030,5.350
1763005562.130,5.350
1763005562.230,5.350
1763005562.330,5.350
1763005562.430,5.350
1763005562.530,5.354
1763005562.630,5.354
1763005562.730,5.354
1763005562.830,5.354
1763005562.930,5.354
1763005563.030,5.350
1763005563.130,5.350
1763005563.230,5.350
1763005563.330,5.350
1763005563.430,5.350
1763005563.530,5.336
1763005563.630,5.336
1763005563.730,5.336
1763005563.830,5.336
1763005563.930,5.336
1763005564.030,5.337
1763005564.130,5.337
1763005564.230,5.337
1763005564.330,5.337
1763005564.430,5.337
1763005564.530,5.346
1763005564.630,5.346
1763005564.730,5.346
1763005564.830,5.346
1763005564.930,5.346
1763005565.030,5.343
1763005565.130,5.343
1763005565.230,5.343
1763005565.330,5.343
1763005565.430,5.343
1763005565.530,5.345
1763005565.630,5.345
1763005565.730,5.345
1763005565.830,5.345
1763005565.930,5.345
1763005566.030,5.343
1763005566.130,5.343
1763005566.230,5.343
1763005566.330,5.343
1763005566.430,5.343
1763005566.530,5.347
1763005566.630,5.347
1763005566.730,5.347
1763005566.830,5.347
1763005566.930,5.347
1763005567.030,5.332
1763005567.130,5.332
1763005567.230,5.332
1763005567.330,5.332
1763005567.430,5.332
1763005567.530,5.353
1763005567.630,5.353
1763005567.730,5.353
1763005567.830,5.353
1763005567.930,5.353
1763005568.030,5.342
1763005568.130,5.342
1763005568.230,5.342
1763005568.330,5.342
1763005568.430,5.342
1763005568.530,5.354
1763005568.630,5.354
1763005568.730,5.354
1763005568.830,5.354
1763005568.930,5.354
1763005569.030,5.336
1763005569.130,5.336
1763005569.230,5.336
1763005569.330,5.336
1763005569.430,5.336
1763005569.530,5.350
1763005569.630,5.350
1763005569.730,5.350
1763005569.830,5.350
1763005569.930,5.350
1763005570.030,5.359
1763005570.130,5.359
1763005570.230,5.359
1763005570.330,5.359
1763005570.430,5.359
1763005570.530,5.357
1763005570.630,5.357
1763005570.730,5.357
1763005570.830,5.357
1763005570.930,5.357
1763005571.030,5.329
1763005571.130,5.329
1763005571.230,5.329
1763005571.330,5.329
1763005571.430,5.329
1763005571.530,5.337
1763005571.630,5.337
1763005571.730,5.337
1763005571.830,5.337
1763005571.930,5.337
1763005572.030,5.359
1763005572.130,5.359
1763005572.230,5.359
1763005572.330,5.359
1763005572.430,5.359
1763005572.530,5.342
1763005572.630,5.342
1763005572.730,5.342
1763005572.830,5.342
1763005572.930,5.342
1763005573.030,5.333
1763005573.134,5.333
1763005573.231,5.333
1763005573.330,5.333
1763005573.430,5.333
1763005573.530,5.382
1763005573.630,5.382
1763005573.730,5.382
1763005573.830,5.382
1763005573.930,5.382
1763005574.030,5.355
1763005574.130,5.355
1763005574.230,5.355
1763005574.330,5.355
1763005574.430,5.355
1763005574.530,5.361
1763005574.630,5.361
1763005574.730,5.361
1763005574.830,5.361
1763005574.930,5.361
1763005575.030,5.334
1763005575.130,5.334
1763005575.230,5.334
1763005575.330,5.334
1763005575.430,5.334
1763005575.530,5.346
1763005575.630,5.346
1763005575.730,5.346
1763005575.830,5.346
1763005575.930,5.346
1763005576.030,5.365
1763005576.130,5.365
1763005576.230,5.365
1763005576.330,5.365
1763005576.430,5.365
1763005576.530,5.357
1763005576.630,5.357
1763005576.730,5.357
1763005576.830,5.357
1763005576.930,5.357
1763005577.030,5.332
1763005577.130,5.332
1763005577.230,5.332
1763005577.330,5.332
1763005577.430,5.332
1763005577.530,5.342
1763005577.630,5.342
1763005577.730,5.342
1763005577.830,5.342
1763005577.930,5.342
1763005578.030,5.343
1763005578.130,5.343
1763005578.230,5.343
1763005578.330,5.343
1763005578.430,5.343
1763005578.530,5.353
1763005578.630,5.353
1763005578.730,5.353
1763005578.830,5.353
1763005578.930,5.353
1763005579.032,5.334
1763005579.130,5.334
1763005579.230,5.334
1763005579.330,5.334
1763005579.430,5.334
1763005579.530,5.351
1763005579.630,5.351
1763005579.730,5.351
1763005579.830,5.351
1763005579.930,5.351
1763005580.030,5.357
1763005580.130,5.357
1763005580.230,5.357
1763005580.330,5.357
1763005580.430,5.357
1763005580.530,5.335
1763005580.630,5.335
1763005580.730,5.335
1763005580.830,5.335
1763005580.930,5.335
