meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006093978881835938,0,0,0,2430,2576,1991,99.71035766601562,100.0,100.0,0.0
2,0.6392524242401123,0,0,0,1748,1813,1390,79.95655059814453,80.29450988769531,74.91841125488281,0.0
3,1.280064582824707,0,0,0,1409,1740,1471,70.13758087158203,78.34002685546875,78.69464111328125,0.0
4,1.9190340042114258,0,0,0,647,1350,1527,0.0,67.89826202392578,81.30535888671875,0.0
5,2.5603861808776855,0,0,0,1380,991,1855,69.297607421875,58.28647994995117,96.59673309326172,0.0
6,3.1991164684295654,0,0,0,1727,1327,977,79.34829711914062,67.28246307373047,55.664337158203125,0.0

# Summary
# start_time,0
# end_time,27.647959232330322
# total_meters,6
