meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006403923034667969,0,0,0,6106,6412,4663,100.0,100.0,100.0,0.0
2,1.6010162830352783,0,0,0,4386,4498,3465,79.77411651611328,81.30401611328125,76.66975402832031,0.0
3,3.1805434226989746,0,0,0,3430,3471,3137,67.14169311523438,69.06470489501953,69.62269592285156,0.0
4,4.760357856750488,0,0,0,2202,3564,3925,51.10467529296875,70.30866241455078,86.63101196289062,0.0
5,6.340399503707886,0,0,0,3737,2575,4874,71.6850357055664,58.752784729003906,100.0,0.0
6,7.926813364028931,0,0,0,5276,4098,3093,91.87066650390625,76.82357788085938,69.12474822998047,0.0

# Summary
# start_time,0
# end_time,23.39561629295349
# total_meters,6
