meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006577968597412109,0,0,0,2381,2332,1901,98.29109191894531,94.19009399414062,98.74125671386719,0.0
2,0.6395432949066162,0,0,0,1652,1833,1390,77.17595672607422,80.82998657226562,74.91841125488281,0.0
3,1.2858953475952148,0,0,0,1506,1507,1462,72.9471435546875,72.10173797607422,78.27505493164062,0.0
4,1.91983962059021,0,0,0,1004,1371,1478,58.406951904296875,68.46051025390625,79.02098083496094,0.0
5,2.5600128173828125,0,0,0,1625,990,1965,76.3939208984375,58.25970458984375,100.0,0.0
6,3.1998913288116455,0,0,0,1677,1309,993,77.90007019042969,66.800537109375,56.410255432128906,0.0

# Summary
# start_time,0
# end_time,24.501623392105103
# total_meters,6
