meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006473064422607422,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
2,1.5909137725830078,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
3,3.2037572860717773,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
4,4.816867351531982,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
5,6.429855823516846,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
6,8.042554140090942,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
7,9.655488729476929,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
8,11.268372774124146,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0

# Summary
# start_time,0
# end_time,12.15246033668518
# total_meters,8
9,0.0006368160247802734,0,0,0,100000,100000,100000,0.0,0.0,0.0,0.0
