meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006463527679443359,0,0,0,5628,6077,4647,96.44449615478516,100.0,100.0,0.0
2,1.5814054012298584,0,0,0,4521,4662,3531,81.90692138671875,83.5750961303711,78.51206970214844,0.0
3,3.160393238067627,0,0,0,3492,3700,3202,68.1503677368164,71.95928192138672,71.27806854248047,0.0
4,4.740711212158203,0,0,0,2623,4173,3871,56.877532958984375,77.84722900390625,85.96075439453125,0.0
5,6.320176839828491,0,0,0,3256,2405,4732,64.98649597167969,56.508392333984375,100.0,0.0
6,7.902183532714844,0,0,0,4853,3861,2929,86.0379638671875,73.82533264160156,65.3887939453125,0.0
7,12.221655130386353,0,0,0,0,0,0,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,43.76423168182373
# total_meters,7
