meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006468296051025391,0,0,0,2521,2507,1824,100.0,98.87550354003906,95.1515121459961,0.0
2,0.6401238441467285,0,0,0,1914,1915,1456,84.76466369628906,83.02543640136719,77.9953384399414,0.0
3,1.279914140701294,0,0,0,1488,1540,1407,72.42578125,72.98527526855469,75.71095275878906,0.0
4,1.9197700023651123,0,0,0,1193,1667,1531,63.88124465942383,76.38554382324219,81.4918441772461,0.0
5,2.5600533485412598,0,0,0,1634,1086,1867,76.65459442138672,60.829986572265625,97.15617370605469,0.0
6,3.199770450592041,0,0,0,1732,1426,1068,79.49311828613281,69.93306732177734,59.906761169433594,0.0

# Summary
# start_time,0
# end_time,18.523263692855835
# total_meters,6
