meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006113052368164062,0,0,0,21953,22333,17379,98.88658142089844,98.43212890625,100.0,0.0
2,6.060428619384766,0,0,0,15938,16910,12806,77.39302825927734,81.55081176757812,73.7411117553711,0.0
3,12.120967626571655,0,0,0,13194,13431,11425,66.32356262207031,69.41616821289062,64.22148895263672,0.0
4,18.161061763763428,0,0,0,8704,15475,15189,50.02912521362305,76.53022766113281,87.76647186279297,0.0
5,24.201822519302368,0,0,0,13670,9520,17786,67.9876708984375,56.66950607299805,100.0,0.0
6,30.26190423965454,0,0,0,20570,16317,11350,94.4190902709961,79.33903503417969,64.50428009033203,0.0
7,36.302207946777344,0,0,0,17,327,545,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,50.31259274482727
# total_meters,7
