meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.000652313232421875,0,0,0,2344,2392,1752,97.21940612792969,95.79651641845703,91.79486846923828,0.0
2,0.6202273368835449,0,0,0,1685,1761,1328,78.13179016113281,78.90227508544922,72.02796936035156,0.0
3,1.240034580230713,0,0,0,1450,1562,999,71.32512664794922,73.57429504394531,56.68997573852539,0.0
4,1.8594753742218018,0,0,0,813,1454,1533,52.87472915649414,70.68273162841797,81.5850830078125,0.0
5,2.4797844886779785,0,0,0,1311,805,1766,67.29905700683594,53.30656051635742,92.44755554199219,0.0
6,3.101055145263672,0,0,0,2071,1732,1170,89.31209564208984,78.12583923339844,64.66200256347656,0.0

# Summary
# start_time,0
# end_time,5.9996747970581055
# total_meters,6
