meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0011527538299560547,0,0,0,2451,2519,1929,100.0,99.19678497314453,100.0,0.0
2,0.6406471729278564,0,0,0,2002,1952,1423,87.31353759765625,84.01606750488281,76.45687866210938,0.0
3,1.2812540531158447,0,0,0,1233,1333,1044,65.03982543945312,67.44310760498047,58.787879943847656,0.0
4,1.9208319187164307,0,0,0,978,1517,1492,57.653873443603516,72.36947631835938,79.67366027832031,0.0
5,2.560238838195801,0,0,0,1424,969,1806,70.57205200195312,57.69745635986328,94.3123550415039,0.0
6,3.203442335128784,0,0,0,1755,1271,969,80.1593017578125,65.78313446044922,55.29137420654297,0.0

# Summary
# start_time,0
# end_time,7.765575647354126
# total_meters,6
