meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0036308765411376953,0,0,0,6294,6457,4636,100.0,100.0,100.0,0.0
2,1.5866341590881348,0,0,0,5246,5204,3395,91.39705657958984,89.95567321777344,75.49858093261719,0.0
3,3.158043146133423,0,0,0,4092,3914,3130,76.35377502441406,74.7486343383789,70.08851623535156,0.0
4,4.758617401123047,0,0,0,3174,4450,3880,63.98678207397461,80.92742919921875,85.7921371459961,0.0
5,6.3446433544158936,0,0,0,3472,2343,5025,67.95686340332031,55.845943450927734,100.0,0.0
6,7.9196953773498535,0,0,0,5011,3703,2803,88.09630584716797,71.92990112304688,62.68320083618164,0.0

# Summary
# start_time,0
# end_time,28.25446605682373
# total_meters,6
