meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0007276535034179688,0,0,0,2658,2927,2167,100.0,100.0,100.0,0.0
2,0.6387860774993896,0,0,0,1747,2053,1536,79.87649536132812,86.66852569580078,81.65772247314453,0.0
3,1.2788944244384766,0,0,0,1571,1669,1491,74.829833984375,76.4390869140625,79.62703704833984,0.0
4,1.9192745685577393,0,0,0,1132,1652,1662,62.114410400390625,75.98393249511719,87.59906768798828,0.0
5,2.558825969696045,0,0,0,1567,972,2071,74.71397399902344,57.77777862548828,100.0,0.0
6,3.198848009109497,0,0,0,2061,1722,1311,89.02244567871094,77.85810089111328,71.23542785644531,0.0

# Summary
# start_time,0
# end_time,4.4893388748168945
# total_meters,6
