meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006430149078369141,0,0,0,2409,2477,1957,99.10209655761719,98.0722885131836,100.0,0.0
2,0.639411449432373,0,0,0,1874,1918,1386,83.6060791015625,83.10575866699219,74.73193359375,0.0
3,1.2794318199157715,0,0,0,1556,1575,1323,74.3953628540039,73.92235565185547,71.79486846923828,0.0
4,1.9183201789855957,0,0,0,762,1306,1618,51.39753723144531,66.72021484375,85.54778289794922,0.0
5,2.558288335800171,0,0,0,1459,853,1921,71.58580780029297,54.59170150756836,99.67366027832031,0.0
6,3.1978378295898438,0,0,0,1939,1483,1010,85.48877716064453,71.45916748046875,57.202796936035156,0.0

# Summary
# start_time,0
# end_time,18.502503871917725
# total_meters,6
