meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0005803108215332031,0,0,0,13156,13013,10928,79.9973373413086,79.99540710449219,79.99517059326172,0.0
2,3.3108017444610596,0,80,80,0,13013,10928,0.0,79.99540710449219,79.99517059326172,0.0
3,6.644148111343384,60,0,100,8913,0,13538,60.0,0.0,99.99600219726562,0.0
4,9.979774713516235,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,13.310807943344116,50,70,100,7427,10600,13538,52.996456146240234,69.99418640136719,99.99600219726562,0.0

# Summary
# start_time,0
# end_time,16.646757125854492
# total_meters,5
