meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006678104400634766,0,0,0,2338,2419,1927,97.04561614990234,96.5194091796875,99.95337677001953,0.0
2,0.6397066116333008,0,0,0,1756,1804,1431,80.18827056884766,80.05355072021484,76.829833984375,0.0
3,1.2796528339385986,0,0,0,1506,1358,1343,72.9471435546875,68.1124496459961,72.7272720336914,0.0
4,1.9197673797607422,0,0,0,1102,1730,1511,61.24547576904297,78.0722885131836,80.55944061279297,0.0
5,2.559680700302124,0,0,0,1583,1217,1803,75.17740631103516,64.33734893798828,94.17249298095703,0.0
6,3.199584484100342,0,0,0,1700,1522,946,78.56625366210938,72.50334930419922,54.219112396240234,0.0

# Summary
# start_time,0
# end_time,50.511510133743286
# total_meters,6
