meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006663799285888672,0,0,0,2290,2411,1888,95.65531921386719,96.30522155761719,98.13520050048828,0.0
2,0.6396560668945312,0,0,0,1786,1844,1363,81.05720520019531,81.12449645996094,73.65967559814453,0.0
3,1.2797777652740479,0,0,0,1427,1465,1388,70.65894317626953,70.97724151611328,74.8251724243164,0.0
4,1.9194419384002686,0,0,0,823,1302,1515,53.16437530517578,66.61312103271484,80.74591827392578,0.0
5,2.559795379638672,0,0,0,1614,1114,1973,76.07530975341797,61.57965087890625,100.0,0.0
6,3.199453353881836,0,0,0,1864,1438,1177,83.31643676757812,70.25434875488281,64.98834228515625,0.0

# Summary
# start_time,0
# end_time,24.310887813568115
# total_meters,6
