meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
4,4.817798614501953,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
5,6.430778741836548,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0
6,8.043642520904541,0,0,0,100000,100000,100000,100.0,100.0,100.0,0.0

# Summary
# start_time,0
# end_time,8.974284410476685
# total_meters,6
