meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006365776062011719,0,0,0,2260,2373,1886,94.78638458251953,95.2878189086914,98.04196166992188,0.0
2,0.6204550266265869,0,0,0,1624,1903,1336,76.36495208740234,82.70414733886719,72.40093231201172,0.0
3,1.2402465343475342,0,0,0,1266,1506,1144,65.99565887451172,72.07496643066406,63.44988250732422,0.0
4,1.8601083755493164,0,0,0,768,1627,1501,51.57132339477539,75.31459045410156,80.0932388305664,0.0
5,2.4807558059692383,0,0,0,1187,650,1804,63.70745849609375,0.0,94.2191162109375,0.0
6,3.0998806953430176,0,0,0,2056,1599,1258,88.87762451171875,74.56492614746094,68.76457214355469,0.0
7,3.7198550701141357,0,0,0,0,0,6,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,8.935974597930908
# total_meters,7
