meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006449222564697266,0,0,0,21950,22422,17358,99.42073059082031,99.20973205566406,100.0,0.0
2,6.060004949569702,0,0,0,16038,16940,12706,77.01724243164062,80.95685577392578,72.1555404663086,0.0
3,12.080369472503662,0,0,0,13248,13682,11272,66.66532897949219,70.35801696777344,63.497798919677734,0.0
4,18.16045379638672,0,0,0,8714,15432,15258,0.0,76.09912872314453,87.65162658691406,0.0
5,24.204558849334717,0,0,0,13554,9227,17551,67.51124572753906,55.69208908081055,100.0,0.0
6,30.26264715194702,0,0,0,20709,16179,11263,94.9386978149414,78.88668823242188,63.97508239746094,0.0
7,36.30289649963379,0,0,0,143,543,748,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,41.981040239334106
# total_meters,7
