meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.004486560821533203,0,0,0,21977,22407,17283,98.96549987792969,98.66365814208984,99.6765365600586,0.0
2,6.010268211364746,0,0,0,15746,16715,12757,76.15359497070312,80.42845153808594,72.7547378540039,0.0
3,12.020033597946167,0,0,0,13153,13443,11182,66.1180191040039,69.40721130371094,62.683624267578125,0.0
4,18.03892731666565,0,0,0,8929,15788,15395,50.53832244873047,77.05530548095703,88.1109619140625,0.0
5,24.040485382080078,0,0,0,13369,9338,17400,67.20494842529297,56.28179931640625,100.0,0.0
6,30.042738676071167,0,0,0,20125,15570,11638,92.4605941772461,76.6898193359375,65.97420501708984,0.0
7,36.084272623062134,0,0,0,1056,1345,1013,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,62.30427074432373
# total_meters,7
