meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006530284881591797,0,0,0,6229,6488,4828,100.0,100.0,100.0,0.0
2,1.600931167602539,0,0,0,4941,5038,3802,87.60994720458984,88.19583892822266,84.48277282714844,0.0
3,3.1801676750183105,0,0,0,3918,3883,3348,74.18548583984375,74.49848175048828,74.94313049316406,0.0
4,4.780330419540405,0,0,0,2834,4236,4272,59.35039520263672,78.19329071044922,93.82763671875,0.0
5,6.380234479904175,0,0,0,3700,2359,5028,71.08158111572266,56.101627349853516,100.0,0.0
6,7.960549592971802,0,0,0,5451,4139,2737,94.02635192871094,77.20404815673828,61.38657760620117,0.0
7,9.5403573513031,0,0,0,24,0,0,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,22.191802740097046
# total_meters,7
