time_relative,pressure,flow_rate_l_per_min,speed
0.5009329319000244,0.8804000000000001,0.0,0.6476773333333332
1.0004522800445557,0.892,0.0,0.6476773333333332
1.5004453659057617,0.8996000000000002,0.0,0.6345809166666667
2.0004708766937256,0.8888,0.0,0.6357714999999999
2.5003156661987305,0.8884000000000001,0.0,0.6488679166666667
3.0006566047668457,0.8936,0.0,0.651844375
3.500478744506836,0.8904,0.0,0.6447008750000001
4.000396251678467,0.8928,0.0,0.6506537916666666
4.500556468963623,0.8944000000000001,0.0,0.6476773333333332
5.000410556793213,0.8948,0.0,0.6458914583333333
5.5004191398620605,0.8884000000000001,0.0,0.651844375
6.000455379486084,0.8976000000000001,0.0,0.6458914583333333
6.500411033630371,0.8892,0.0,0.6560114166666667
7.000498056411743,0.8976000000000001,0.0,0.64648675
7.500442981719971,0.8880000000000001,0.0,0.6399385416666666
8.0003821849823,0.8939999999999999,0.0,0.6560114166666667
8.500369787216187,0.882,0.0,0.6488679166666667
9.000488758087158,0.8932,0.0,0.6447008750000001
9.500500679016113,0.8836,0.0,0.6548208333333333
10.000582218170166,-0.005599999999999999,0.0,0.016668166666666668
10.500416278839111,-0.005599999999999999,0.0,0.0
11.000380277633667,-0.005200000000000001,0.0,0.0
11.500298500061035,-0.005200000000000001,0.0,0.0
12.00036883354187,-0.005200000000000001,0.0,0.0
12.50045919418335,-0.005200000000000001,0.0,0.0
13.000364780426025,-0.005200000000000001,0.0,0.0
13.500410795211792,-0.005599999999999999,0.0,0.0
14.00036358833313,-0.005200000000000001,0.0,-0.105366625
14.5005464553833,-0.005599999999999999,0.0,-0.57505175
15.00040054321289,-0.005200000000000001,0.0,-0.9471090416666667
15.500384330749512,-0.005599999999999999,0.0,-0.9631819166666666
16.00039052963257,-0.005599999999999999,0.0,-0.8667446666666667
16.500513076782227,-0.005200000000000001,0.0,-0.7560204166666666
17.000421285629272,-0.005200000000000001,0.0,-0.7566157083333334
17.500376224517822,-0.005200000000000001,0.0,-0.787570875
18.00029754638672,-0.005200000000000001,0.0,-0.948299625
18.500333309173584,-0.006,0.0,-1.0328310416666666
19.000521659851074,-0.005200000000000001,0.0,-1.028664
19.500563621520996,-0.005599999999999999,0.0,-1.0572380000000001
20.00029993057251,-0.005200000000000001,0.0,-1.051880375
20.50044012069702,-0.005200000000000001,0.0,-0.9625866249999999
21.000354290008545,-0.005200000000000001,0.0,-0.8923422083333333
21.50047993659973,-0.005200000000000001,0.0,-0.8846034166666668
22.000359058380127,-0.005200000000000001,0.0,-0.8744834583333333
22.500374794006348,-0.005599999999999999,0.0,-0.7667356666666666
23.00047516822815,-0.005200000000000001,0.0,-0.691133625
23.500293254852295,-0.005200000000000001,0.0,-0.34765033333333334
24.00034499168396,-0.005200000000000001,0.0,-0.22323437499999998
24.5006422996521,-0.005200000000000001,0.0,-0.036908083333333334
25.0002920627594,-0.005200000000000001,0.0,0.0
25.500298976898193,-0.005200000000000001,0.0,0.0
26.00033187866211,-0.005200000000000001,0.0,0.0
26.500324249267578,-0.005200000000000001,0.0,0.0
27.000332832336426,-0.005200000000000001,0.0,0.0
27.5002863407135,-0.005599999999999999,0.0,0.0
28.000336408615112,-0.005200000000000001,0.0,0.0
28.5004301071167,-0.005200000000000001,0.0,0.0
29.00028371810913,-0.005200000000000001,0.0,0.0
